iter	Passed	Remaining
128	3426	9854
129	3453	9828
130	3477	9794
131	3502	9764
132	3526	9731
133	3552	9703
134	3576	9669
135	3602	9641
136	3626	9610
137	3652	9580
138	3678	9552
139	3703	9523
140	3728	9493
141	3754	9464
142	3778	9433
143	3810	9420
144	3837	9394
145	3863	9367
146	3888	9338
147	3913	9307
148	3937	9276
149	3962	9244
150	3992	9228
151	4019	9203
152	4043	9170
153	4072	9150
154	4098	9122
155	4123	9092
156	4152	9071
157	4178	9044
158	4204	9017
159	4230	8988
160	4255	8959
161	4280	8930
162	4305	8901
163	4330	8871
164	4354	8841
165	4380	8813
166	4404	8783
167	4429	8753
168	4453	8722
169	4477	8691
170	4502	8663
171	4527	8633
172	4551	8603
173	4577	8576
174	4605	8552
175	4631	8526
176	4658	8501
177	4684	8473
178	4708	8443
179	4738	8423
180	4763	8395
181	4791	8372
182	4818	8346
183	4844	8320
184	4869	8290
185	4894	8262
186	4919	8234
187	4945	8207
188	4969	8177
189	4994	8148
190	5019	8121
191	5045	8094
192	5070	8065
193	5095	8037
194	5119	8007
195	5145	7980
196	5172	7955
197	5196	7926
198	5221	7897
199	5246	7870
200	5270	7840
201	5296	7813
202	5320	7783
203	5345	7755
204	5371	7729
205	5397	7702
206	5421	7674
207	5445	7644
208	5471	7618
209	5495	7589
210	5520	7561
211	5545	7533
212	5571	7507
213	5596	7479
214	5622	7453
215	5647	7425
216	5672	7397
217	5697	7370
218	5723	7343
219	5747	7314
220	5764	7277
221	5791	7252
222	5815	7224
223	5841	7197
224	5865	7168
225	5892	7143
226	5917	7116
227	5942	7089
228	5967	7061
229	5993	7035
230	6020	7010
231	6044	6982
232	6070	6955
233	6096	6930
234	6121	6903
235	6145	6875
236	6171	6848
237	6196	6820
238	6221	6794
239	6246	6766
240	6271	6740
241	6295	6711
242	6321	6685
243	6347	6659
244	6371	6631
245	6396	6604
246	6423	6579
247	6447	6551
248	6471	6523
249	6496	6496
250	6521	6469
251	6546	6442
252	6570	6414
253	6595	6387
254	6620	6361
255	6645	6333
256	6669	6306
257	6694	6279
258	6719	6252
259	6746	6227
260	6773	6202
261	6798	6175
262	6823	6148
263	6848	6121
264	6873	6095
265	6898	6068
266	6923	6041
267	6949	6016
268	6979	5993
269	7008	5970
270	7035	5945
271	7060	5918
272	7084	5891
273	7109	5863
274	7133	5836
275	7159	5810
276	7183	5783
277	7209	5757
278	7233	5730
279	7259	5703
280	7284	5677
281	7309	5650
282	7333	5623
283	7360	5597
284	7384	5570
285	7409	5543
286	7433	5516
287	7458	5490
288	7483	5463
289	7507	5436
290	7535	5411
291	7562	5386
292	7590	5362
293	7618	5338
294	7643	5311
295	7668	5285
296	7694	5259
297	7718	5232
298	7743	5205
299	7771	5181
300	7796	5154
301	7822	5128
302	7847	5101
303	7872	5075
304	7898	5049
305	7925	5024
306	7950	4998
307	7976	4972
308	8004	4948
309	8029	4921
310	8054	4894
311	8079	4868
312	8105	4842
313	8130	4816
314	8154	4789
315	8178	4762
316	8206	4737
317	8231	4710
318	8256	4684
319	8280	4657
320	8305	4631
321	8332	4606
322	8357	4579
323	8382	4553
324	8407	4527
325	8432	4500
326	8456	4473
327	8481	4447
328	8506	4421
329	8531	4395
330	8556	4368
331	8580	4342
332	8605	4315
333	8630	4289
334	8654	4262
335	8679	4236
336	8704	4210
337	8729	4184
338	8757	4159
339	8783	4133
340	8807	4106
341	8834	4081
342	8860	4055
343	8885	4029
344	8910	4003
345	8935	3976
346	8960	3951
347	8987	3925
348	9012	3899
349	9037	3873
350	9062	3847
351	9087	3820
352	9112	3794
353	9137	3768
354	9163	3742
355	9188	3716
356	9213	3690
357	9237	3664
358	9266	3639
359	9295	3614
360	9319	3588
361	9344	3562
362	9371	3537
363	9397	3511
364	9421	3484
365	9445	3458
366	9470	3432
367	9496	3406
368	9521	3380
369	9546	3354
370	9571	3328
371	9597	3302
372	9620	3275
373	9644	3249
374	9670	3223
375	9696	3197
376	9722	3171
377	9750	3146
378	9779	3122
379	9808	3097
380	9835	3071
381	9860	3045
382	9887	3020
383	9912	2994
384	9938	2968
385	9963	2942
386	9989	2916
387	10014	2890
388	10039	2864
389	10064	2838
390	10089	2812
391	10114	2786
392	10139	2760
393	10164	2734
394	10189	2708
395	10214	2682
396	10239	2656
397	10263	2630
398	10288	2604
399	10317	2579
400	10343	2553
401	10369	2527
402	10394	2501
403	10422	2476
404	10446	2450
405	10471	2424
406	10496	2398
407	10521	2372
408	10546	2346
409	10571	2320
410	10596	2294
411	10621	2268
412	10647	2242
413	10671	2216
414	10696	2190
415	10721	2165
416	10751	2139
417	10775	2113
418	10801	2088
419	10825	2061
420	10851	2036
421	10876	2010
422	10901	1984
423	10926	1958
424	10953	1933
425	10979	1907
426	11004	1881
427	11029	1855
428	11054	1829
429	11078	1803
430	11103	1777
431	11129	1751
432	11153	1725
433	11178	1699
434	11203	1674
435	11229	1648
436	11254	1622
437	11280	1596
438	11304	1570
439	11330	1545
440	11354	1519
441	11381	1493
442	11405	1467
443	11430	1441
444	11455	1415
445	11480	1390
446	11505	1364
447	11531	1338
448	11556	1312
449	11581	1286
450	11606	1261
451	11631	1235
452	11657	1209
453	11682	1183
454	11707	1157
455	11733	1132
456	11758	1106
457	11783	1080
458	11808	1054
459	11833	1028
460	11858	1003
461	11882	977
462	11908	951
463	11934	925
464	11960	900
465	11985	874
466	12009	848
467	12034	822
468	12059	797
469	12083	771
470	12108	745
471	12134	719
472	12161	694
473	12186	668
474	12210	642
475	12236	616
476	12260	591
477	12284	565
478	12308	539
479	12333	513
480	12359	488
481	12384	462
482	12408	436
483	12434	411
484	12459	385
485	12484	359
486	12508	333
487	12533	308
488	12558	282
489	12583	256
490	12607	231
491	12631	205
492	12657	179
493	12682	154
494	12707	128
495	12735	102
496	12761	77
497	12786	51
498	12809	25
499	12834	0
